Gene_id	UniProt_AC	UniProt_ID	EntrezGene	symbol
Solyc01g005240.2	K4AS91	K4AS91_SOLLC	101258399	LOC101258399
Solyc01g005250.2	K4AS92	K4AS92_SOLLC	101258686	LOC101258686
Solyc01g005260.2	K4AS93	K4AS93_SOLLC	101258093	LOC101258093
Solyc01g005270.2	K4AS94	K4AS94_SOLLC	101257498	LOC101257498
Solyc01g005280.2	K4AS95	K4AS95_SOLLC	101257203	LOC101257203
Solyc01g005290.2	K4AS96	K4AS96_SOLLC		
Solyc01g005300.2	K4AS97	K4AS97_SOLLC		
Solyc01g005310.2	K4AS98	K4AS98_SOLLC	101256617	LOC101256617
Solyc01g005320.2	K4AS99	K4AS99_SOLLC	101256318	LOC101256318
Solyc01g005330.2	K4ASA0	K4ASA0_SOLLC	101255723	LOC101255723
Solyc01g005340.2	K4ASA1	K4ASA1_SOLLC	101256026	LOC101256026
Solyc01g005350.2	K4ASA2	K4ASA2_SOLLC	101247245	LOC101247245
Solyc01g005360.2	K4ASA3	K4ASA3_SOLLC	101253220	LOC101253220
Solyc01g005370.2	K4ASA4	K4ASA4_SOLLC	101247547	LOC101247547
Solyc01g005380.2	K4ASA5	K4ASA5_SOLLC	101253310	LOC101253310
Solyc01g005390.2	K4ASA6	K4ASA6_SOLLC	101248702	LOC101248702
Solyc01g005400.2	K4ASA7	K4ASA7_SOLLC	101245281	LOC101245281
Solyc01g005410.2	K4ASA8	K4ASA8_SOLLC	101245874	LOC101245874
Solyc01g005420.2	K4ASA9	K4ASA9_SOLLC		
Solyc01g005430.2	K4ASB0	K4ASB0_SOLLC	101251912	LOC101251912
Solyc01g005440.2	K4ASB1	K4ASB1_SOLLC		
Solyc01g005450.2	K4ASB2	K4ASB2_SOLLC	101254415	LOC101254415
Solyc01g005460.2	K4ASB3	K4ASB3_SOLLC	101251712	LOC101251712
Solyc01g005470.2	K4ASB4	K4ASB4_SOLLC	101250247	LOC101250247
Solyc01g005480.2	K4ASB5	K4ASB5_SOLLC	101266061	LOC101266061
Solyc01g005490.2				
Solyc01g005500.2	K4ASB6	K4ASB6_SOLLC	101246172	LOC101246172
Solyc01g005510.2	K4ASB7	K4ASB7_SOLLC	101251411	LOC101251411
Solyc01g005520.2	K4ASB8	K4ASB8_SOLLC	101254513	LOC101254513
Solyc01g005530.2	K4ASB9	K4ASB9_SOLLC	101252018	LOC101252018
Solyc01g005540.2	K4ASC0	K4ASC0_SOLLC	101243628	LOC101243628
Solyc01g005550.2	K4ASC1	K4ASC1_SOLLC	101253614	LOC101253614
